Bootstrap,Technique,S_CC_Pearson,S_CC_Spearman,S_CC_Pairwise,S_CC_Layer,S_CC_Variance,Num_Layers,S_CC_Pearson_Norm,S_CC_Spearman_Norm,S_CC_Pairwise_Norm,S_CC_Layer_Norm,S_CC_Variance_Norm,S_CC_Aggregate,Rank,Rank_Pearson,Rank_Spearman,Rank_Pairwise,Rank_Layer,Rank_Variance
856,Layer-wise Activation Distance,0.14248571358155834,0.12611806208015244,0.6042514699231117,0.12095032562625536,0.10038939799481797,25,0.5802927949570398,0.31360860580484,1.0,0.32337268305528555,0.44180275410612746,0.5318153675846585,2,2.0,3.0,1.0,3.0,2.0
856,CKA Similarity,0.13643215505990086,0.1262363851924802,0.6042514699231117,0.1210396937466688,0.010443938312667241,25,0.5176809902314486,0.3146474908048745,1.0,0.3242167180587723,0.02417863662275603,0.43614476714357026,3,3.0,2.0,1.0,2.0,4.0
856,Cosine Similarity,0.13636908753654112,0.12611806208015244,0.6042514699231117,0.12095032562625536,0.005236483823145169,25,0.5170286844111613,0.31360860580484,1.0,0.32337268305528555,0.0,0.4308019946542574,4,4.0,3.0,1.0,3.0,5.0
856,Subspace-oriented Representational Analysis,0.08638069617526668,0.09039981964680376,0.5395748530076889,0.08671097683347045,0.22061068257432745,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
857,Attention Entropy Analysis,0.242159862810705,0.28677809529499676,0.7011884550084889,0.2720182450615732,0.09823575148936683,24,1.0,1.0,1.0,1.0,0.41854685605770114,0.8837093712115403,1,1.0,1.0,1.0,1.0,3.0
857,Layer-wise Activation Distance,0.21425367127596384,0.22251024625489443,0.6655348047538201,0.21060462361060786,0.10460186977977444,25,0.7482949971293469,0.5410400121301246,0.6363636363636372,0.5261219489233914,0.44733910059284826,0.5798319390278697,2,4.0,3.0,2.0,3.0,2.0
857,CKA Similarity,0.21970884463128698,0.22262647722058512,0.6655348047538201,0.2106491351633685,0.011350340996279257,25,0.7974989317956778,0.5418700595550854,0.6363636363636372,0.5264654077094759,0.025587462069839088,0.5055570994987431,3,3.0,2.0,2.0,2.0,4.0
857,Cosine Similarity,0.21973544633371528,0.22251024625489443,0.6655348047538201,0.21060462361060786,0.00569281714158055,25,0.7977388707202617,0.5410400121301246,0.6363636363636372,0.5261219489233914,0.0,0.500252893627483,4,2.0,3.0,2.0,3.0,5.0
857,Subspace-oriented Representational Analysis,0.13129122207462207,0.1467487882994519,0.6031409168081494,0.142420300376355,0.22679813189522488,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
858,Attention Entropy Analysis,0.18828160813649492,0.2503935313268761,0.5380219780219779,0.23745673696278854,0.1022253468092715,24,1.0,1.0,1.0,1.0,0.4594953698109124,0.8918990739621824,1,1.0,1.0,1.0,1.0,3.0
858,Subspace-oriented Representational Analysis,0.1167666372268478,0.13310005646434608,0.5358241758241757,0.12708300702685585,0.21548992235267564,25,0.0,0.0,0.9193548387096775,0.0,1.0,0.3838709677419355,2,5.0,5.0,2.0,5.0,1.0
858,Layer-wise Activation Distance,0.18015020545480398,0.15891438307378158,0.5107692307692308,0.14961269088048193,0.10646365346437205,25,0.8862978956956544,0.2200832283269836,0.0,0.20412179480301712,0.4797207965187112,0.35804474306887324,3,4.0,3.0,3.0,3.0,2.0
858,CKA Similarity,0.18664770965521488,0.1589388891429864,0.5107692307692308,0.14963596159029413,0.011833897588575665,25,0.9771530567586425,0.2202921578453011,0.0,0.20433263038704338,0.028142525385468874,0.28598407407529114,4,3.0,2.0,3.0,2.0,4.0
858,Cosine Similarity,0.18672784252594593,0.15891438307378158,0.5107692307692308,0.14961269088048193,0.005936536096243047,25,0.9782735615943684,0.2200832283269836,0.0,0.20412179480301712,0.0,0.28049571694487385,5,2.0,3.0,3.0,3.0,5.0
859,Attention Entropy Analysis,0.2265796960412741,0.2537272006909063,0.6881166881166882,0.23623911780273257,0.0967599290713931,24,1.0,1.0,1.0,1.0,0.41648959047495265,0.8832979180949906,1,1.0,1.0,1.0,1.0,3.0
859,Layer-wise Activation Distance,0.16118060860412167,0.16421761629763526,0.625053625053625,0.15624338426620113,0.10220912729292778,25,0.5341736031908483,0.3090379704030834,0.6491646778042953,0.3070587509589997,0.44134694347982273,0.44815638916740985,2,2.0,3.0,2.0,3.0,2.0
859,CKA Similarity,0.16002388846258844,0.16432870366175045,0.625053625053625,0.15633319066106133,0.01088318146330765,25,0.5259344855400889,0.3098955003658454,0.6491646778042953,0.3078366743891021,0.024749642060465264,0.36351619603195945,3,4.0,2.0,2.0,2.0,4.0
859,Cosine Similarity,0.16003328545091278,0.16421761629763526,0.625053625053625,0.15624338426620113,0.005457595501959142,25,0.52600141866383,0.3090379704030834,0.6491646778042953,0.3070587509589997,0.0,0.3582525635660417,4,3.0,3.0,2.0,3.0,5.0
